HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72583201,7,2,3,6,0.012,0.012,9000,0,4583.333,200,0,4783.333,257
72583202,7,2,3,6,0.008,0.008,10000,0,22583.33,2433.333,0,25016.67,257
72583301,6,9,4,1,0.644,0.644,15083,0,0,3200,2056.667,5256.667,385
72583302,5,9,3,8,0.429,0.429,10417,0,5250,1600,2825,9675,385
72583401,4,3,4,1,1.037,1.037,9833,0,0,2423.333,11084.17,13507.5,513
72583402,5,3,4,1,1.426,1.426,12000,0,0,0,8168,8168,513
72583501,3,3,4,1,1.766,1.766,10668,0,0,0,19695,19695,513
72584101,2,9,4,9,7.302,0.215,50000,0,0,960,0,132293.3,52
72584201,4,9,4,1,0.834,0.834,16500,0,0,0,4770,4770,52
72584202,5,9,4,8,0.834,0.834,19000,0,7500,2866.667,6016.667,16383.33,52
72584501,4,9,4,1,3.264,4.884,22000,0,0,0,26916.67,26916.67,114
72584503,6,9,4,1,1.251,3.681,38500,0,0,17433.33,13932.08,31365.42,114
72584504,4,9,4,1,1.114,20.351,34000,0,0,0,163348.5,163348.5,114
72584505,7,9,4,1,17.111,20.351,42000,0,0,49200,704856.3,754056.3,114
72584506,5,9,4,1,0.855,1.665,32000,0,0,5000,26702.92,31702.92,114
72585201,5,9,4,6,0.109,0.109,15000,0,1975,1550,369.1667,3894.167,392
72585202,6,3,4,4,0.008,0.008,12000,11733.33,0,333.3333,0,12066.67,392
72585301,2,9,4,2,0.616,0.616,7000,0,0,3133.333,3313.333,6446.667,1274
72585302,5,9,4,1,0.373,0.373,20000,0,10416.67,0,1652.5,12069.17,1274
72585402,7,9,4,1,1.644,1.644,36000,0,30416.67,4743.333,9747.167,44907.17,294
72585501,3,9,4,1,4.086,8.946,26500,0,0,5866.667,8300,14166.67,735
72585502,4,9,4,1,2.074,2.074,21000,0,0,3290,14565.83,17855.83,735
72586201,4,2,4,6,0.02,0.02,22800,0,7416.667,-2300,0,5116.667,605
72586202,6,2,4,4,0.016,0.016,21800,5000,7233.333,1346.667,0,13580,605
72586301,4,9,4,6,0.016,0.826,19200,0,10000,1440,14493.33,25933.33,666
72586302,4,9,4,1,0.96,0.96,16000,0,0,0,15918.33,15918.33,666
72586401,10,9,4,1,1.264,1.264,32500,0,0,1086.667,19155.67,20242.33,847
72586402,2,9,4,1,1.665,1.665,17000,0,0,4373.333,27637.5,32010.83,847
72586501,3,9,4,1,2.219,2.219,25500,0,0,5833.333,38496.67,44330,968
72586502,4,9,4,1,1.673,2.078,25700,0,0,3983.333,28698.33,32681.67,968
72587201,4,3,1,7,0.024,0.024,11000,0,7666.667,4290,0,11956.67,355
72587202,5,2,4,4,0.134,0.134,20600,20333.33,0,2716.667,4691.667,27741.67,355
72587301,5,2,4,1,0.64,0.64,13000,0,0,4766.667,10362.5,15129.17,264
72587302,4,9,4,4,0.255,0.255,20600,12833.33,6000,5253.333,708.3333,24795,264
72587401,4,3,1,1,1.903,1.903,24400,0,0,5600,11133.33,16733.33,165
72587402,6,3,4,1,1.454,1.454,20500,0,0,0,7670,7670,165
72587501,6,3,1,1,2.074,2.074,29583,0,0,9300,14017.5,23317.5,256
72587502,5,9,4,1,2.215,2.215,21667,0,0,7933.333,43429.17,51362.5,256
72589201,9,2,3,8,0.012,0.012,11000,0,12658.33,-190,0,12468.33,4190
72589202,5,2,3,7,0.004,0.004,6417,0,4183.333,0,0,4183.333,4190
72589301,2,3,4,9,0.028,0.028,6667,0,0,0,0,0,1323
72589302,2,9,4,1,0.437,1.045,5083,0,0,7156.667,5110.417,12267.08,1323
72589402,8,9,4,1,1.029,1.029,32000,0,0,4383.333,6981.667,11365,3087
72589501,4,9,4,1,1.219,2.232,10083,0,0,17100,11116.67,28216.67,4410
72589502,2,9,4,9,2.029,0.004,9833,0,0,2266.667,4740,15340,4410
72590201,6,2,1,2,0.041,0.041,7000,0,3166.667,2316.667,0,5483.333,11
72590202,5,2,1,8,0.016,0.016,7750,0,7833.333,6233.333,0,14066.67,11
72590301,5,2,1,1,0.425,0.425,10000,0,0,4050,9165,13215,14
72590302,3,2,1,1,0.417,0.417,4500,0,0,0,5775,5775,14
72590303,4,2,1,1,0.437,0.437,10000,0,0,5700,5796.667,11496.67,14
72590304,7,2,1,1,0.47,0.47,10500,0,5083.333,9133.333,15450,29666.67,14
72590305,7,2,1,1,0.895,0.895,12500,0,0,2666.667,17678.33,20345,14
72590306,8,2,1,1,0.486,0.51,15500,0,0,4333.333,9706.5,14039.83,14
72591201,6,2,4,6,0.012,0.012,16808,0,20166.67,5443.333,0,25610,4655
72591202,4,9,2,4,0.069,0.069,21500,27800,0,5800,314.5833,33914.58,4655
72591301,5,9,4,1,0.871,0.871,23808,0,0,38046.67,7755,45801.67,803
72591302,10,9,2,1,0.024,0.591,23358,0,7000,2100,9212.5,18312.5,803
72591401,6,9,4,6,0.992,0.992,23925,0,16216.67,20810,9091.833,46118.5,642
72591402,4,9,4,1,1.288,1.288,27783,0,0,46040,13745.83,59785.83,642
72591501,3,9,4,1,0.02,1.438,19883,0,0,22080,16962.67,39042.66,883
72591502,5,9,4,9,1.134,0.126,23083,0,15000,27166.67,50,56383.34,883
72592301,4,9,4,1,0.632,0.429,8267,0,0,2466.667,3479.583,9279.583,98
72592302,3,9,4,1,0,0.413,9520,0,2333.333,1583.333,3490.833,7407.5,98
72592401,7,9,4,1,1.989,1.989,21500,0,0,19466.67,19773.33,39240,229
72592402,6,9,4,1,1.203,1.203,23450,0,0,4383.333,12889.58,17272.92,229
72592403,4,9,4,1,1.519,1.519,19845,0,0,0,18301.08,18301.08,229
72592501,6,9,4,1,1.916,1.916,21220,0,0,3825,15035,18860,245
72592502,6,9,4,1,0.834,2.454,18467,0,0,8216.667,4959.333,16842.67,245
72593201,5,2,1,8,0.016,0.016,15000,0,7083.333,450,0,7533.333,3042
72593202,7,2,4,6,0.02,0.02,15333,0,16333.33,400,0,16733.33,3042
72593301,4,2,1,8,0.826,0.826,15000,0,8750,2033.333,294.1667,11077.5,2028
72593302,6,2,1,2,0.834,0.834,8800,0,0,866.6667,0,866.6667,2028
72593401,3,9,4,1,0.834,0.834,14500,0,0,10613.33,6625.833,17239.17,761
72593402,4,9,4,1,1.239,0.632,24583,0,0,10508.33,3590.833,17015.83,761
72593501,7,2,4,1,1.648,3.066,24592,0,7500,30506.67,7830,45836.66,254
72593502,6,9,4,1,3.2,3.2,29600,0,0,9386.667,16957.33,26344,254
72594201,4,3,1,2,0.012,0.113,14700,0,3000,16700,256.6667,19956.67,288
72594202,3,9,4,6,1.721,0.02,18000,0,25000,4570,0,50820,288
72594301,4,3,1,8,0.417,0.417,14633,0,8000,0,5562.5,13562.5,240
72594302,4,3,1,1,0.421,1.231,15833,0,0,0,11904.17,11904.17,240
72594401,5,9,4,1,1.944,1.944,24250,0,0,0,24187.08,24187.08,96
72594402,7,9,4,1,2.066,2.066,30000,0,26750,-350,28580,54980,96
72594501,3,9,4,1,1.636,8.926,18667,0,0,11400,23536.92,34936.91,432
72594502,5,9,4,1,1.029,8.319,24600,0,0,11316.67,69655.41,80972.08,432
72595201,5,3,2,2,0.02,0.02,12500,0,500,6500,0,7000,236
72595202,6,3,2,1,0.223,0.223,11000,0,0,11050,208.3333,11258.33,236
72595301,7,3,2,1,0.859,0.859,21667,0,0,6933.333,6233.333,13166.67,169
72595302,6,9,4,1,0.008,0.494,24667,0,0,9866.667,3502.5,13369.17,169
72595401,4,3,2,1,1.227,1.227,13000,0,0,4333.333,12358.33,16691.67,90
72595402,7,9,4,9,1.644,1.644,21000,0,10833.33,0,15533.33,26366.67,90
72595501,4,3,2,1,1.235,2.855,16500,0,0,3266.667,28750,32016.67,315
72595502,16,3,2,1,1.061,5.111,27500,0,5833.333,12533.33,61525,79891.66,315
72596201,4,9,4,6,1.247,0.032,14000,0,2500,2180,0,12180,896
72596202,5,9,4,1,1.652,0.032,14000,0,0,733.3333,0,13233.33,896
72596301,6,9,4,1,0.834,0.834,14833,0,0,7100,7557.5,14657.5,896
72596302,3,9,4,1,0.842,0.842,10000,0,0,0,8300.833,8300.833,896
72596401,3,9,4,1,1.235,1.235,10000,0,0,0,13841.67,13841.67,1315
72596402,5,9,4,1,1.037,1.037,14000,0,0,6666.667,10816.67,17483.33,1315
72596501,6,9,4,1,2.458,2.458,17867,0,0,5300,26190,31490,1852
72596502,5,9,4,1,1.64,1.64,13000,0,0,4566.667,15183.33,19750,1852
72597201,4,9,4,9,0.215,0.215,20000,0,0,12070,1140,13210,136
72597202,9,9,4,1,0.215,0.215,29000,30000,0,18830,1156.667,49986.67,136
72597301,6,9,4,2,2.754,0.729,20500,0,0,34233.33,1953.333,52853.33,91
72597302,6,9,4,2,2.754,0.729,22000,0,7500,33500,2061.667,59728.33,91
72597303,5,9,4,1,0.251,0.251,18500,0,0,9633.333,1103.333,10736.67,91
72597401,5,9,4,2,6.334,0.867,30000,0,0,25600,-1385,74215,68
72597402,7,9,4,2,6.334,0.867,30000,0,0,17533.33,-435,67098.34,68
72598201,4,9,1,6,0.008,0.13,20800,0,35000,5066.667,585.4167,40652.09,4995
72598202,5,2,4,8,0.004,0.012,4500,0,3900,1533.333,-280,5153.333,4995
72598301,5,9,4,1,0.952,0.952,21650,0,0,12266.67,9283.333,21550,3469
72598401,5,9,4,1,1.863,3.281,27833,0,0,9183.333,27346.67,36530,833
72598402,7,9,1,1,1.033,1.033,18833,0,10000,10983.33,11056.25,32039.58,833
72598501,5,9,1,1,4.082,4.082,27750,0,40185.17,12066.67,30303.75,82555.59,694
72598502,9,9,4,1,2.057,2.462,41267,0,45000,5500,25185.42,75685.41,694
72599201,5,2,4,8,0.016,0.016,12125,0,8000,1800,0,9800,4301
72599202,6,2,4,8,0.008,0.097,18050,0,13816.67,0,297.0833,14113.75,4301
72599301,6,9,4,8,0.356,0.356,25000,0,8000,9766.667,2926.667,20693.33,782
72599302,5,9,4,9,0.446,0.122,29367,0,0,1746.667,1083.75,9080.416,782
72599401,4,2,4,8,0.008,1.061,21800,0,15041.67,-983.3333,3004.25,17062.58,196
72599402,11,9,4,1,1.705,4.945,40417,0,0,20266.67,36020,56286.66,196
72599501,4,9,4,1,2.078,5.318,24792,0,0,1950,27599.25,29549.25,1466
72599502,7,9,4,1,3.949,3.949,36250,0,0,3666.667,53824.17,57490.84,1466
72920201,6,3,1,6,0.211,0.211,20592,0,8666.667,-159,535,9042.667,7581
72920202,5,3,1,6,0.008,0.008,17233,0,30000,4200,0,34200,7581
72920301,5,3,1,1,0.413,0.413,14767,0,6000,-250,1631.667,7381.667,10973
72920302,4,3,4,1,0.324,0.68,13883,0,0,1810,2324.167,4134.167,10973
72920401,5,3,4,1,0.992,0.992,16683,27866.67,5500,4720,5611.667,43698.33,4589
72920402,3,3,4,1,1.166,1.166,10767,0,0,8570,10097.08,18667.08,4589
72920501,8,3,1,1,2.296,4.321,31683,0,0,1883.333,24641.75,26525.08,1796
72920502,4,3,1,6,2.122,2.122,19000,7300,14166.67,0,16057.58,37524.25,1796
72921201,6,2,4,7,0.012,0.012,6000,0,6875,1116.667,0,7991.667,3334
72921202,4,3,2,7,0.016,0.016,6433,0,6833.333,83.33334,0,6916.667,3334
72921301,9,3,4,1,0.944,0.944,14250,4800,16725,5516.667,6945.333,33987,1715
72921302,4,9,4,1,1.033,1.033,18750,0,0,746.6667,6199.167,6945.833,1715
72921401,9,9,4,1,0.79,2.41,29250,0,0,7430,22505.42,29935.42,1905
72921402,5,9,4,1,1.231,1.231,15667,0,0,2573.333,10736.25,13309.58,1905
72921501,7,9,4,1,3.657,3.657,18183,0,0,5183.333,29739.33,34922.67,6858
72922201,3,2,4,8,0.016,0.016,11000,0,4166.667,1700,0,5866.667,893
72922202,9,2,4,7,0.024,0.024,20000,0,15833.33,1916.667,0,17750,893
72922301,5,9,4,1,0.425,0.425,12000,0,0,0,3725.833,3725.833,752
72922302,10,9,1,6,0.526,0.526,36000,6666.667,0,0,4637.5,11304.17,752
72922401,10,9,4,1,1.652,1.652,25000,0,0,6466.667,19112.5,25579.17,423
72922402,5,9,4,1,1.458,1.458,22000,0,0,3200,17075,20275,423
72922501,5,9,1,1,2.888,2.888,20000,0,0,0,20254.17,20254.17,611
72922502,3,9,4,1,2.074,2.074,15000,0,0,3600,14429.17,18029.17,611
72923201,8,2,4,7,0.012,0.012,9600,0,11783.33,816.6667,0,12600,1311
72923202,8,2,4,5,0.053,0.154,27500,0,38675,-1033.333,2779.167,40420.84,1311
72923301,4,9,4,1,0.822,0.822,12000,0,4500,6816.667,8362.917,19679.58,138
72923401,4,9,4,1,1.029,5.889,16000,0,4500,4533.333,23138.5,32171.83,322
72923403,8,2,4,1,0.032,1.045,19320,0,0,7750,2767.75,10517.75,322
72923501,3,9,4,1,2.365,2.365,19817,0,0,6366.667,20040.42,26407.08,690
72923502,5,9,4,1,3.26,10.145,26500,0,0,11750,70241.25,81991.25,690
72924201,6,3,2,1,0.032,0.113,12500,0,4416.667,4161.667,167.5,8745.833,137
72924202,6,3,2,5,0.332,0.028,16608,0,25000,-105,0,28895,137
72924301,6,2,2,1,0.336,0.336,10730,0,16791.67,950,7607.5,25349.17,76
72924302,5,2,2,8,0.336,0.336,9692,0,6216.667,691.6667,7377.5,14285.83,76
72924402,5,9,4,1,1.255,1.255,25508,0,0,10649.67,14088.67,24738.33,61
72924502,7,9,4,1,6.512,20.687,25883,0,0,253.3333,126216.7,126470,244
72925201,4,2,9,6,0.012,0.012,12000,0,2966.667,-973.3333,0,1993.333,7197
72925202,5,2,4,8,0.012,0.012,9867,0,8141.667,1866.667,0,10008.33,7197
72925301,3,2,4,1,0.721,0.721,9333,0,0,0,7599.5,7599.5,4376
72925302,4,2,9,1,1.049,1.049,16667,0,0,-123.3333,7049.167,6925.833,4376
72925401,4,2,4,1,1.239,0.632,15417,0,291.6667,2016.667,4961.333,13269.67,973
72925402,4,2,4,1,1.045,1.045,16167,0,0,3440,5365.583,8805.584,973
72925502,14,2,4,1,2.479,2.479,31833,0,0,5833.333,25432.5,31265.83,875
72926202,4,2,4,4,0.008,0.049,10887,5750,1833.333,486.6667,260.8333,8330.833,2321
72926301,5,9,4,3,0.506,0.506,12042,4916.667,0,3246.667,6310,14473.33,119
72926302,8,9,4,1,1.008,1.008,23417,0,10250,5655,5039.833,20944.83,119
72926401,4,9,4,1,1.231,1.231,10862,0,0,0,18130.83,18130.83,89
72926402,4,9,4,1,1.114,1.114,12405,0,0,5740,7225.75,12965.75,89
72926502,6,9,4,1,2.106,2.106,18453,0,0,3146.667,20047.25,23193.92,357
72927201,6,2,4,7,0.012,0.012,7000,0,7583.333,4333.333,0,11916.67,3536
72927202,3,2,4,8,0.012,0.012,6167,0,12841.67,3180,0,16021.67,3536
72927301,6,9,4,1,0.421,1.231,12000,0,0,4300,4106.167,8406.166,612
72927302,5,9,4,5,1.231,2.851,15217,0,31750,3780,10191.25,45721.25,612
72927401,3,9,4,1,0.83,0.83,12000,0,0,9053.333,7481.5,16534.83,204
72927402,10,9,4,1,1.669,5.719,25033,0,0,3166.667,19358.83,22525.5,204
72927501,4,9,4,1,2.487,2.487,16000,0,0,15306.67,22306.33,37613,1360
72927502,5,9,4,1,1.863,5.508,20000,0,0,-833.3333,29324.58,28491.25,1360
72928201,6,2,1,7,0.004,0.004,8000,0,10083.33,666.6667,0,10750,5928
72928202,5,9,4,9,4.909,0.109,16353,0,0,1456.667,-10.41667,98946.25,5928
72928301,9,2,1,1,0.417,0.822,12317,0,4958.333,1710,10891.58,17559.92,1359
72928302,3,9,4,1,0.134,0.514,10058,0,0,1750,5258.333,7008.333,1359
72928401,5,9,4,1,1.045,1.045,16608,0,0,6650,12716.58,40199.92,618
72928402,5,9,4,1,1.029,1.029,12883,0,0,2562.667,8761.333,11324,618
72928501,5,2,1,1,2.037,2.037,13158,0,0,2846.667,8015.833,10862.5,865
72928502,3,2,4,1,0.822,2.847,12775,0,0,3000,8908.75,11908.75,865
72929201,6,9,4,1,0.94,2.56,21075,0,0,5883.333,25019.67,30903,1449
72929202,4,2,4,7,0.016,2.446,10858,0,2000,1450,14488.33,17938.33,1449
72929301,7,3,4,1,0.332,0.332,15033,0,15925,0,3794.5,19719.5,966
72929302,4,2,4,1,0.761,0.761,25183,0,0,8750,6736.833,15486.83,966
72929401,4,9,4,6,1.64,0.02,22500,0,37966.67,3666.667,0,58300,1035
72929402,6,9,1,1,1.632,1.632,12471,0,0,0,17874.67,17874.67,1035
72929502,5,9,4,1,1.855,1.855,20600,0,0,1666.667,15020.75,16687.42,9384
72932201,1,3,4,1,0.024,0.024,5800,0,0,4200,0,4200,41
72932202,4,3,4,6,0.016,0.016,9500,0,9000,3383.333,0,12383.33,41
72932301,4,3,4,1,0.591,0.591,9050,0,0,0,8116.167,8116.167,182
72932302,4,3,4,1,0.437,0.437,12500,0,0,5900,6043.167,11943.17,182
72932401,5,9,4,1,1.458,1.458,15500,0,0,8366.667,19446.08,27812.75,256
72932402,6,3,4,1,1.247,1.247,18167,0,16500,9466.667,15727.75,41694.42,256
72932501,5,9,4,1,2.049,2.049,15000,0,0,3666.667,23090.25,26756.92,165
72932502,12,3,4,1,4.099,4.099,35583,0,5400,16896.67,59567,81863.66,165
72933102,5,2,4,8,0.85,0.85,20000,0,6000,0,9191.667,15191.67,11
72933201,4,2,4,1,0.243,0.243,10000,0,0,5566.667,2483.667,8050.333,89
72933202,2,2,1,1,0.364,0.364,7000,0,0,783.3333,4120.833,4904.167,89
72933301,6,2,4,1,0.648,0.648,15000,0,0,1716.667,8725,10441.67,29
72933302,3,2,1,1,0.587,0.587,10000,0,0,1433.333,6162.5,7595.833,29
72933303,4,2,1,1,0.77,0.77,16000,0,0,2566.667,9075,11641.67,29
72933304,3,2,1,1,0.567,0.567,9000,0,0,700,8159.667,8859.666,29
72933401,2,3,4,1,1.478,1.478,6000,0,0,33.33333,26727.58,26760.92,11
72933402,5,2,4,1,1.276,1.276,12000,0,0,0,14800,14800,11
72937201,4,2,4,9,0.085,0.085,13150,0,0,5483.333,3684.167,9167.5,5352
72937202,7,2,4,7,0.024,0.024,12500,0,18291.67,5400,0,23691.67,5352
72937301,6,2,4,1,0.632,0.632,15000,0,0,4183.333,9084.417,13267.75,18487
72937302,4,2,4,1,0.526,0.526,12200,0,0,15400,7323.333,22723.33,18487
72937401,4,3,1,1,1.041,1.041,12125,0,0,4183.333,16497.58,20680.92,8271
72937402,5,2,4,1,1.555,1.555,15200,0,0,4833.333,23521.67,28355,8271
72937501,5,2,4,1,2.466,2.466,16250,0,0,10700,36732.83,47432.83,9730
72937502,9,2,4,1,4.099,4.099,28500,13333.33,0,11000,58410,82743.33,9730
72970201,5,2,4,7,0.016,0.016,10050,0,8541.667,5433.333,0,13975,1824
72970202,6,2,1,7,0.024,0.024,15500,2100,12000,4550,0,18650,1824
72970301,4,9,4,1,5.771,0.911,21250,0,0,5233.333,9429.5,74662.83,528
72970302,3,9,4,1,0.944,0.437,12083,0,7000,2416.667,8011.667,20286.67,528
72970401,4,9,4,1,1.66,1.66,20000,0,0,7133.333,21556.92,28690.25,720
72970402,3,9,4,1,1.037,1.037,14833,0,0,500,15791.92,16291.92,720
72970501,5,9,4,1,4.917,4.917,25000,0,0,7696.667,51553.75,59250.42,2352
72970502,9,9,4,1,6.557,6.557,29250,0,0,3583.333,85670.84,89254.17,2352
72971102,6,2,4,1,0.494,0.494,16849,0,9000,2466.667,4062,15528.67,167
72971201,5,2,4,6,0.13,0.13,7392,0,9650,86.66666,962.75,10699.42,56
72971202,4,2,4,6,0.045,0.045,10967,0,10000,0,274.8333,10274.83,56
72971301,5,2,4,4,0.506,0.506,14633,34333.33,0,7083.333,4060.833,45477.5,167
72971302,9,3,4,6,0.551,0.875,25433,0,39833.33,7253.333,6690.083,53776.75,167
72971401,8,2,4,1,1.045,1.693,25375,0,16333.33,4750,7709.583,28792.92,111
72971501,4,3,4,1,4.941,4.941,21242,0,0,11210,35549.42,46759.42,93
72971502,6,2,4,1,0.174,2.843,11958,0,0,-2533.333,2126.5,2176.5,93
72972102,4,3,4,1,2.462,2.462,11850,0,0,0,19545.42,19545.42,2091
72972201,4,3,4,6,0.101,0.101,14200,0,12000,3166.667,906.5,16073.17,2373
72972301,6,9,1,1,1.049,1.049,20000,0,0,500,6660.417,7160.417,1978
72972302,4,3,4,6,0.826,2.041,14000,0,6000,8900,8955.833,23855.83,1978
72972401,6,3,4,1,1.045,1.045,12000,0,0,1266.667,5075,6341.667,622
72972402,5,3,4,6,1.806,1.806,24500,0,40000,9300,14340.83,63640.83,622
72972501,8,9,1,1,4.491,4.491,31700,0,0,33000,24219.17,57219.16,226
72972502,6,3,4,1,0.628,2.045,27667,0,0,9546.667,10117.92,19664.58,226
72973201,6,9,4,1,2.049,2.049,17533,0,0,0,12987.5,27987.5,4436
72973202,4,3,4,6,0.016,0.016,19000,0,9000,4466.667,0,13466.67,4436
72973301,7,9,4,1,0.632,0.632,24000,0,0,6833.333,6550,13383.33,887
72973302,5,9,2,6,0.62,0.62,25033,0,30000,0,5966.25,35966.25,887
72973401,4,9,4,1,0.008,0.344,21000,0,0,0,3099.167,3099.167,887
72973402,4,9,4,1,1.037,0.36,10900,0,0,0,3099.167,3099.167,887
72973501,4,9,4,1,2.033,2.033,16000,0,0,0,20354.17,20354.17,887
72973502,10,9,4,1,1.256,3.686,30000,0,0,-620,19180,18560,887
72974201,3,9,4,1,0.016,0.219,9000,0,4666.667,3800,1226.667,9693.333,1793
72974202,4,9,4,1,0.008,0.616,11000,0,2000,1346.667,3960.833,7307.5,1793
72974301,6,3,4,1,1.025,1.025,14833,0,0,3513.333,9432.5,12945.83,777
72974302,1,9,1,1,0.822,0.822,3000,0,0,0,9202.5,9202.5,777
72974401,5,9,4,1,0.648,1.458,11333,0,0,3600,12780,16380,359
72974402,3,9,1,1,1.231,1.231,20000,0,0,11666.67,13683.33,25350,359
72974501,5,9,4,1,2.037,2.037,13000,0,0,3200,24098.33,27298.33,2510
72974502,4,9,4,1,2.045,2.045,21000,0,0,0,24891.67,24891.67,2510
72975101,3,9,4,6,0.101,0.101,10000,0,7250,1186.667,0,8436.667,360
72975201,2,9,4,9,0.122,0.122,10000,0,0,2220,254.1667,2474.167,79
72975202,6,2,4,2,0.061,0.061,18000,0,0,6833.333,0,6833.333,79
72975301,5,9,4,1,0.871,0.871,15000,0,0,6310,8649.917,14959.92,203
72975302,4,9,4,1,0.433,0.433,12000,0,0,3066.667,1512.5,4579.167,203
72975401,5,9,4,1,1.701,1.701,25000,0,0,2083.333,19551.5,21634.83,34
72975402,5,9,4,1,1.041,1.041,20000,0,0,4700,9243.417,13943.42,34
72975501,5,9,4,1,4.074,4.074,25000,0,0,4233.333,36520.83,40754.16,304
72975502,3,9,4,1,2.875,2.875,15000,0,0,0,36937.92,36937.92,304
72976201,6,2,4,6,0.041,0.041,12600,0,2083.333,3840,0,5923.333,7076
72976202,7,2,4,1,0.417,0.417,15000,0,0,7073.333,3750,10823.33,7076
72976301,6,9,4,1,0.522,0.522,14000,0,1333.333,2186.667,5398.333,8918.334,2498
72976302,6,9,4,1,0.628,0.628,12000,0,0,1006.667,7737.5,8744.167,2498
72976401,4,2,4,1,0.012,1.227,12000,0,0,5666.667,10114.17,15780.83,278
72976402,4,9,4,1,1.863,1.863,16500,0,0,1986.667,18230,20216.67,278
72976501,4,9,4,1,2.446,2.446,20000,0,0,6816.667,28608.33,35425,1388
72976502,5,9,4,1,2.053,4.888,16300,0,0,3066.667,29616.25,32682.92,1388
72977201,6,3,1,4,0.109,0.109,15667,30000,125,1833.333,476.6667,32435,5822
72977301,3,9,4,1,0.826,0.826,12000,0,0,24186.67,8184.167,32370.83,4544
72977302,5,9,4,9,0.85,0.952,20667,0,18000,5500,8148.333,31648.33,4544
72977401,6,9,4,1,1.64,1.64,18250,0,0,21346.67,17463.75,38810.41,1704
72977501,6,9,1,1,6.909,6.909,24250,0,0,8900,24402.5,33302.5,710
72977502,6,9,4,1,1.66,1.66,23500,0,0,15720,15764.17,31484.17,710
72978201,4,2,4,4,0.012,0.012,7600,7733.333,0,16.66667,0,7750,3611
72978202,2,9,1,9,1.64,0.02,11250,0,10000,2400,0,22400,3611
72978301,5,9,4,1,2.483,0.255,24500,0,6000,-856.6667,2043.333,31936.67,1445
72978302,5,9,4,1,0.826,1.029,19417,0,0,4600,12792.5,17392.5,1445
72978401,6,9,4,1,1.446,1.446,26333,0,0,3333.333,16080.83,19414.17,1685
72978402,4,9,4,1,1.264,1.264,25950,5800,0,0,14234.17,20034.17,1685
72978501,5,9,4,1,2.665,4.082,20250,0,0,6566.667,46649.67,53216.34,3371
72978502,5,9,4,6,2.888,2.888,33500,0,60000,13000,31666.67,104666.7,3371
72979201,7,2,4,8,0.012,0.032,10083,0,10000,3000,33.33333,13033.33,5376
72979202,4,2,4,8,0.008,0.008,9800,2666.667,12000,3900,0,18566.67,5376
72979301,8,9,4,1,0.016,0.421,20067,0,26166.67,11966.67,2907.083,41040.41,489
72979302,4,9,4,1,0.931,0.931,12100,0,0,2683.333,9386.5,12069.83,489
72979401,5,9,4,1,1.438,1.438,18767,0,16000,1440,17182.42,34622.41,1173
72979402,6,9,4,1,1.66,1.66,35750,0,0,-1666.667,17004,15337.33,1173
72979501,5,9,4,1,1.013,7.088,28417,0,0,4406.667,19373.58,23780.25,2053
72979502,7,9,4,1,4.131,4.941,29333,0,3450,13050,71569.66,88069.66,2053
